year;white;white_elo;black;black_elo;result;eco;moves
2024;Gukesh;2743;Keymer;2738;Vitoria;E33;1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 d6 5.Qc2 0-0 6.Bg5 Nc6 7.a3 Bxc3+ 8.Qxc3 h6
2024;Gukesh;2794;Pechac;2582;Empate;C54;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3 a6 6.0-0 Ba7 7.Bg5 h6 8.Bh4 d6
2024;Abdusattorov;2744;Gukesh;2743;Empate;E11;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.g3 Bb4+ 5.Bd2 Be7 6.Bg2 0-0 7.0-0 c6 8.Qc2 Nbd7
2024;Gukesh;2743;Vidit;2747;Empate;C48;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 5.0-0 d6 6.Nc3 0-0 7.Na4 Nd4 8.Nxc5 Nxb5
2024;Gukesh;2764;Kozak;2609;Vitoria;E11;1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 d5 5.Qa4+ Nc6 6.e3 0-0 7.a3 Bxd2+ 8.Bxd2 Ne4
2024;Maghsoodloo;2715;Gukesh;2743;Empate;E11;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.g3 Bb4+ 5.Bd2 Be7 6.Bg2 0-0 7.0-0 c6 8.b3 b6
2024;Gukesh;2743;Rapport;2717;Empate;B67;1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 Bd7 7.Qd2 a6 8.0-0-0 e6
2024;Gukesh;2725;Firouzja;2759;Empate;D85;1.d4 Nf6 2.Nf3 g6 3.c4 Bg7 4.Nc3 d5 5.cxd5 Nxd5 6.e4 Nxc3 7.bxc3 c5 8.Be3 Bg4
2024;Giri;2749;Gukesh;2725;Vitoria;D77;1.d4 Nf6 2.c4 e6 3.Nf3 Nc6 4.g3 g6 5.Bg2 Bg7 6.0-0 0-0 7.Nc3 d5 8.b3 Qe7
2024;Gukesh;2725;Giri;2749;Vitoria;D78;1.d4 Nf6 2.Nf3 d5 3.g3 g6 4.Bg2 Bg7 5.0-0 0-0 6.c4 c6 7.b3 Bf5 8.Bb2 Nbd7
